Order,Tag,,Tag Code,,,Reader,Mux,RSSI,,Time
37276,TAG_READ,,c50000000000000000000158,,,1,4,-71,1.52045E+12,450688
37277,TAG_READ,,c50000000000000000000155,,,1,4,-71,1.52045E+12,450688
37278,TAG_READ,,abacab000000000000000178,,,1,4,-71,1.52045E+12,450688
37279,TAG_READ,,c50000000000000000000859,,,1,4,-70,1.52045E+12,450688
37280,TAG_READ,,c50000000000000000000803,,,1,1,-71,1.52045E+12,450688
37281,TAG_READ,,c50000000000000000000155,,,1,1,-75,1.52045E+12,450688
37282,TAG_READ,,c50000000000000000000623,,,1,1,-72,1.52045E+12,450688
37283,TAG_READ,,abacab000000000000000254,,,1,1,-72,1.52045E+12,450688
37284,TAG_READ,,c50000000000000000000610,,,1,1,-68,1.52045E+12,450688
37285,TAG_READ,,c50000000000000000000803,,,1,4,-74,1.52045E+12,450689
37286,TAG_READ,,abacab000000000000000221,,,1,4,-71,1.52045E+12,450689
37287,TAG_READ,,c50000000000000000000623,,,1,4,-71,1.52045E+12,450689
37288,TAG_READ,,c50000000000000000000352,,,1,4,-69,1.52045E+12,450689
37289,TAG_READ,,c50000000000000000000859,,,1,4,-66,1.52045E+12,450689
37290,TAG_READ,,c50000000000000000000323,,,1,4,-69,1.52045E+12,450689
37291,TAG_READ,,abacab000000000000000133,,,1,4,-74,1.52045E+12,450689
37292,TAG_READ,,c50000000000000000000710,,,1,4,-73,1.52045E+12,450689
37293,TAG_READ,,c50000000000000000000900,,,1,4,-74,1.52045E+12,450689
37294,TAG_READ,,abacab000000000000000148,,,1,4,-70,1.52045E+12,450689
37295,TAG_READ,,abacab000000000000000221,,,1,4,-71,1.52045E+12,450689
37296,TAG_READ,,abacab000000000000000178,,,1,4,-69,1.52045E+12,450689
37297,TAG_READ,,c50000000000000000000610,,,1,4,-67,1.52045E+12,450689
37298,TAG_READ,,083056003e86d2e43c03b5fe27a00400,,,1,1,-73,1.52045E+12,450689
37299,TAG_READ,,c50000000000000000000859,,,1,1,-66,1.52045E+12,450689
37300,TAG_READ,,c50000000000000000000503,,,1,1,-69,1.52045E+12,450689
37301,TAG_READ,,c50000000000000000000803,,,1,1,-70,1.52045E+12,450689
37302,TAG_READ,,c50000000000000000000352,,,1,1,-69,1.52045E+12,450689
