,,,Tag Code,,,Reader,Mux,RSSI,,Time
52364,TAG_READ,,c50000000000000000000158,,,1,3,-69,1.52048E+12,
52365,TAG_READ,,c50000000000000000000158,,,1,4,-63,1.52048E+12,
52366,TAG_READ,,c50000000000000000000158,,,1,3,-63,1.52048E+12,
52367,TAG_READ,,c50000000000000000000900,,,1,3,-69,1.52048E+12,
52368,TAG_READ,,c50000000000000000000610,,,1,4,-64,1.52048E+12,
52369,TAG_READ,,c50000000000000000000158,,,1,3,-65,1.52048E+12,
52370,TAG_READ,,c50000000000000000000610,,,1,3,-65,1.52048E+12,
52371,TAG_READ,,c50000000000000000000158,,,1,4,-63,1.52048E+12,
52372,TAG_READ,,c50000000000000000000900,,,1,4,-66,1.52048E+12,
52373,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52048E+12,
52374,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52375,TAG_READ,,c50000000000000000000900,,,1,4,-66,1.52048E+12,
52376,TAG_READ,,c50000000000000000000158,,,1,3,-69,1.52048E+12,
52377,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52378,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52048E+12,
52379,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52048E+12,
52380,TAG_READ,,c50000000000000000000158,,,1,3,-67,1.52048E+12,
52381,TAG_READ,,c50000000000000000000158,,,1,4,-66,1.52048E+12,
52382,TAG_READ,,c50000000000000000000158,,,1,3,-66,1.52048E+12,
52383,TAG_READ,,c50000000000000000000158,,,1,3,-63,1.52048E+12,
52384,TAG_READ,,c50000000000000000000900,,,1,3,-64,1.52048E+12,
52385,TAG_READ,,c50000000000000000000334,,,1,3,-70,1.52048E+12,
52386,TAG_READ,,c50000000000000000000158,,,1,3,-69,1.52048E+12,
52387,TAG_READ,,c50000000000000000000900,,,1,3,-68,1.52048E+12,
52388,TAG_READ,,c50000000000000000000158,,,1,3,-65,1.52048E+12,
52389,TAG_READ,,c50000000000000000000610,,,1,3,-63,1.52048E+12,
52390,TAG_READ,,c50000000000000000000900,,,1,3,-70,1.52048E+12,
52391,TAG_READ,,c50000000000000000000334,,,1,3,-73,1.52048E+12,
52392,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52048E+12,
52393,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52048E+12,
52394,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-67,1.52048E+12,
52395,TAG_READ,,c50000000000000000000610,,,1,3,-67,1.52048E+12,
52396,TAG_READ,,c50000000000000000000334,,,1,3,-64,1.52048E+12,
52397,TAG_READ,,c50000000000000000000900,,,1,3,-60,1.52048E+12,
52398,TAG_READ,,c50000000000000000000158,,,1,3,-65,1.52048E+12,
52399,TAG_READ,,c50000000000000000000334,,,1,3,-64,1.52048E+12,
52400,TAG_READ,,c50000000000000000000158,,,1,3,-63,1.52048E+12,
52401,TAG_READ,,c50000000000000000000900,,,1,3,-62,1.52048E+12,
52402,TAG_READ,,c50000000000000000000610,,,1,3,-64,1.52048E+12,
52403,TAG_READ,,c50000000000000000000610,,,1,2,-63,1.52048E+12,
52404,TAG_READ,,c50000000000000000000158,,,1,2,-65,1.52048E+12,
52405,TAG_READ,,c50000000000000000000900,,,1,2,-62,1.52048E+12,
52406,TAG_READ,,c50000000000000000000916,,,1,3,-67,1.52048E+12,
52407,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52408,TAG_READ,,c50000000000000000000610,,,1,3,-57,1.52048E+12,
52409,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-64,1.52048E+12,
52410,TAG_READ,,c50000000000000000000900,,,1,3,-59,1.52048E+12,
52411,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52048E+12,
52412,TAG_READ,,c50000000000000000000900,,,1,3,-60,1.52048E+12,
52413,TAG_READ,,c50000000000000000000610,,,1,3,-57,1.52048E+12,
52414,TAG_READ,,c50000000000000000000916,,,1,3,-63,1.52048E+12,
52415,TAG_READ,,c50000000000000000000334,,,1,3,-68,1.52048E+12,
52416,TAG_READ,,c50000000000000000000916,,,1,2,-63,1.52048E+12,
52417,TAG_READ,,c50000000000000000000334,,,1,2,-70,1.52048E+12,
52418,TAG_READ,,c50000000000000000000610,,,1,2,-58,1.52048E+12,
52419,TAG_READ,,c50000000000000000000900,,,1,2,-60,1.52048E+12,
52420,TAG_READ,,c50000000000000000000334,,,1,3,-64,1.52048E+12,
52421,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-67,1.52048E+12,
52422,TAG_READ,,c50000000000000000000158,,,1,3,-71,1.52048E+12,
52423,TAG_READ,,c50000000000000000000900,,,1,2,-71,1.52048E+12,
52424,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-64,1.52048E+12,
52425,TAG_READ,,c50000000000000000000610,,,1,2,-65,1.52048E+12,
52426,TAG_READ,,c50000000000000000000158,,,1,2,-67,1.52048E+12,
52427,TAG_READ,,c50000000000000000000900,,,1,2,-69,1.52048E+12,
52428,TAG_READ,,c50000000000000000000334,,,1,2,-70,1.52048E+12,
52429,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-69,1.52048E+12,
52430,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-70,1.52048E+12,
52431,TAG_READ,,c50000000000000000000158,,,1,2,-69,1.52048E+12,
52432,TAG_READ,,c50000000000000000000334,,,1,2,-66,1.52048E+12,
52433,TAG_READ,,c50000000000000000000158,,,1,2,-67,1.52048E+12,
52434,TAG_READ,,c50000000000000000000916,,,1,2,-63,1.52048E+12,
52435,TAG_READ,,c50000000000000000000900,,,1,1,-66,1.52048E+12,
52436,TAG_READ,,c50000000000000000000916,,,1,4,-69,1.52048E+12,
52437,TAG_READ,,c50000000000000000000158,,,1,1,-68,1.52048E+12,
52438,TAG_READ,,c50000000000000000000916,,,1,1,-68,1.52048E+12,
52439,TAG_READ,,c50000000000000000000158,,,1,3,-74,1.52048E+12,
52440,TAG_READ,,c50000000000000000000916,,,1,4,-68,1.52048E+12,
52441,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52442,TAG_READ,,c50000000000000000000158,,,1,3,-74,1.52048E+12,
52443,TAG_READ,,c50000000000000000000334,,,1,1,-70,1.52048E+12,
52444,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52048E+12,
52445,TAG_READ,,c50000000000000000000916,,,1,4,-69,1.52048E+12,
52446,TAG_READ,,c50000000000000000000158,,,1,2,-71,1.52048E+12,
