,,,Tag Code,,,Reader,Mux,RSSI,,Time
49807,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52047E+12,1520472143
49808,TAG_READ,,c50000000000000000000900,,,1,4,-71,1.52047E+12,1520472143
49809,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52047E+12,1520472143
49810,TAG_READ,,c50000000000000000000235,,,1,4,-71,1.52047E+12,1520472143
49811,TAG_READ,,c50000000000000000000654,,,1,4,-71,1.52047E+12,1520472143
49812,TAG_READ,,c50000000000000000000292,,,1,1,-67,1.52047E+12,1520472143
49813,TAG_READ,,c50000000000000000000158,,,1,1,-66,1.52047E+12,1520472143
49814,TAG_READ,,c50000000000000000000916,,,1,1,-69,1.52047E+12,1520472143
49815,TAG_READ,,c50000000000000000000315,,,1,1,-70,1.52047E+12,1520472143
49816,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52047E+12,1520472143
49817,TAG_READ,,c50000000000000000000158,,,1,1,-69,1.52047E+12,1520472143
49818,TAG_READ,,c50000000000000000000235,,,1,1,-65,1.52047E+12,1520472143
49819,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52047E+12,1520472143
49820,TAG_READ,,c50000000000000000000048,,,1,1,-66,1.52047E+12,1520472143
49821,TAG_READ,,c50000000000000000000158,,,1,4,-70,1.52047E+12,1520472143
49822,TAG_READ,,c50000000000000000000916,,,1,4,-68,1.52047E+12,1520472143
49823,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52047E+12,1520472143
49824,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52047E+12,1520472143
49825,TAG_READ,,c50000000000000000000507,,,1,4,-68,1.52047E+12,1520472143
49826,TAG_READ,,c50000000000000000000158,,,1,1,-70,1.52047E+12,1520472144
49827,TAG_READ,,c50000000000000000000235,,,1,1,-64,1.52047E+12,1520472144
49828,TAG_READ,,c50000000000000000000292,,,1,1,-68,1.52047E+12,1520472144
49829,TAG_READ,,c50000000000000000000048,,,1,1,-65,1.52047E+12,1520472144
49830,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52047E+12,1520472144
49831,TAG_READ,,c50000000000000000000158,,,1,1,-66,1.52047E+12,1520472144
49832,TAG_READ,,c50000000000000000000916,,,1,1,-69,1.52047E+12,1520472144
49833,TAG_READ,,c50000000000000000000655,,,1,1,-71,1.52047E+12,1520472144
49834,TAG_READ,,c50000000000000000000235,,,1,1,-69,1.52047E+12,1520472144
49835,TAG_READ,,c50000000000000000000235,,,1,4,-71,1.52047E+12,1520472144
49836,TAG_READ,,c50000000000000000000315,,,1,4,-67,1.52047E+12,1520472144
49837,TAG_READ,,c50000000000000000000158,,,1,4,-66,1.52047E+12,1520472144
49838,TAG_READ,,c50000000000000000000883,,,1,4,-74,1.52047E+12,1520472144
49839,TAG_READ,,c50000000000000000000900,,,1,4,-71,1.52047E+12,1520472144
49840,TAG_READ,,c50000000000000000000048,,,1,4,-64,1.52047E+12,1520472144
49841,TAG_READ,,c50000000000000000000292,,,1,4,-67,1.52047E+12,1520472144
49843,GPI,,,5,FALSE,,,,1.52047E+12,1520472143
49844,GPI,,,6,FALSE,,,,1.52047E+12,1520472143
49844,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52047E+12,1520472144
49845,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52047E+12,1520472144
49846,TAG_READ,,c50000000000000000000420,,,1,4,-70,1.52047E+12,1520472144
49847,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52047E+12,1520472144
49848,TAG_READ,,c50000000000000000000048,,,1,4,-66,1.52047E+12,1520472144
49849,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52047E+12,1520472144
49850,TAG_READ,,c50000000000000000000507,,,1,4,-70,1.52047E+12,1520472144
49851,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52047E+12,1520472144
49852,TAG_READ,,c50000000000000000000048,,,1,1,-67,1.52047E+12,1520472144
49853,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52047E+12,1520472144
49854,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52047E+12,1520472144
49855,TAG_READ,,c50000000000000000000292,,,1,1,-65,1.52047E+12,1520472144
49856,TAG_READ,,c50000000000000000000235,,,1,1,-65,1.52047E+12,1520472145
49857,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52047E+12,1520472145
49858,TAG_READ,,c50000000000000000000507,,,1,4,-67,1.52047E+12,1520472145
49859,TAG_READ,,c50000000000000000000710,,,1,4,-73,1.52047E+12,1520472145
49860,TAG_READ,,c50000000000000000000235,,,1,1,-65,1.52047E+12,1520472145
49861,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52047E+12,1520472145
49862,TAG_READ,,c50000000000000000000292,,,1,1,-68,1.52047E+12,1520472145
49863,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52047E+12,1520472145
49864,TAG_READ,,c50000000000000000000883,,,1,1,-70,1.52047E+12,1520472145
49865,TAG_READ,,c50000000000000000000158,,,1,1,-70,1.52047E+12,1520472145
49866,TAG_READ,,c50000000000000000000048,,,1,1,-63,1.52047E+12,1520472145
49867,TAG_READ,,c50000000000000000000048,,,1,4,-61,1.52047E+12,1520472145
49868,TAG_READ,,c50000000000000000000710,,,1,4,-67,1.52047E+12,1520472145
49869,TAG_READ,,c50000000000000000000883,,,1,4,-69,1.52047E+12,1520472145
49870,TAG_READ,,c50000000000000000000710,,,1,1,-67,1.52047E+12,1520472145
49871,TAG_READ,,c50000000000000000000235,,,1,1,-70,1.52047E+12,1520472145
49872,TAG_READ,,c50000000000000000000787,,,1,4,-67,1.52047E+12,1520472145
49873,TAG_READ,,c50000000000000000000235,,,1,4,-70,1.52047E+12,1520472145
49874,TAG_READ,,c50000000000000000000048,,,1,1,-63,1.52047E+12,1520472146
49875,TAG_READ,,c50000000000000000000883,,,1,1,-67,1.52047E+12,1520472146
49876,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52047E+12,1520472146
49877,TAG_READ,,c50000000000000000000292,,,1,1,-69,1.52047E+12,1520472146
49878,TAG_READ,,c50000000000000000000158,,,1,1,-71,1.52047E+12,1520472146
49879,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52047E+12,1520472146
49880,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52047E+12,1520472146
49881,TAG_READ,,c50000000000000000000292,,,1,4,-68,1.52047E+12,1520472146
49882,TAG_READ,,c50000000000000000000235,,,1,4,-64,1.52047E+12,1520472146
49883,TAG_READ,,c50000000000000000000235,,,1,1,-65,1.52047E+12,1520472146
49884,TAG_READ,,c50000000000000000000048,,,1,1,-66,1.52047E+12,1520472146
49885,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52047E+12,1520472146
49886,TAG_READ,,c50000000000000000000292,,,1,1,-68,1.52047E+12,1520472146
49887,TAG_READ,,c50000000000000000000900,,,1,4,-66,1.52047E+12,1520472146
49888,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52047E+12,1520472146
49889,TAG_READ,,c50000000000000000000710,,,1,4,-68,1.52047E+12,1520472146
49890,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52047E+12,1520472146
49891,TAG_READ,,c50000000000000000000158,,,1,1,-63,1.52047E+12,1520472146
49892,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52047E+12,1520472146
49893,TAG_READ,,c50000000000000000000900,,,1,4,-70,1.52047E+12,1520472146
49894,TAG_READ,,c50000000000000000000900,,,1,4,-71,1.52047E+12,1520472146
49895,TAG_READ,,c50000000000000000000323,,,1,4,-71,1.52047E+12,1520472146
49896,TAG_READ,,c50000000000000000000235,,,1,4,-67,1.52047E+12,1520472146
49897,TAG_READ,,c50000000000000000000323,,,1,4,-71,1.52047E+12,1520472146
49898,TAG_READ,,c50000000000000000000420,,,1,4,-71,1.52047E+12,1520472146
49899,TAG_READ,,c50000000000000000000900,,,1,1,-66,1.52047E+12,1520472147
49900,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52047E+12,1520472147
49901,TAG_READ,,c50000000000000000000235,,,1,1,-66,1.52047E+12,1520472147
49902,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52047E+12,1520472147
49903,TAG_READ,,c50000000000000000000610,,,1,1,-68,1.52047E+12,1520472147
49904,TAG_READ,,c50000000000000000000048,,,1,1,-69,1.52047E+12,1520472147
49905,TAG_READ,,c50000000000000000000655,,,1,1,-70,1.52047E+12,1520472147
49906,TAG_READ,,c50000000000000000000883,,,1,1,-73,1.52047E+12,1520472147
49907,TAG_READ,,c50000000000000000000334,,,1,1,-71,1.52047E+12,1520472147
49908,TAG_READ,,c50000000000000000000883,,,1,4,-73,1.52047E+12,1520472147
49909,TAG_READ,,c50000000000000000000610,,,1,4,-67,1.52047E+12,1520472147
49910,TAG_READ,,c50000000000000000000292,,,1,4,-65,1.52047E+12,1520472147
49911,TAG_READ,,c50000000000000000000900,,,1,4,-64,1.52047E+12,1520472147
49912,TAG_READ,,c50000000000000000000235,,,1,4,-66,1.52047E+12,1520472147
49913,TAG_READ,,c50000000000000000000900,,,1,4,-66,1.52047E+12,1520472147
49914,TAG_READ,,c50000000000000000000235,,,1,4,-65,1.52047E+12,1520472147
49915,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52047E+12,1520472147
49916,TAG_READ,,c50000000000000000000292,,,1,4,-69,1.52047E+12,1520472147
49917,TAG_READ,,c50000000000000000000048,,,1,4,-67,1.52047E+12,1520472147
49918,TAG_READ,,c50000000000000000000507,,,1,4,-67,1.52047E+12,1520472147
49919,TAG_READ,,c50000000000000000000883,,,1,4,-70,1.52047E+12,1520472147
49920,TAG_READ,,c50000000000000000000235,,,1,1,-64,1.52047E+12,1520472147
49921,TAG_READ,,c50000000000000000000158,,,1,1,-62,1.52047E+12,1520472147
49922,TAG_READ,,c50000000000000000000900,,,1,1,-64,1.52047E+12,1520472147
49923,TAG_READ,,c50000000000000000000610,,,1,1,-64,1.52047E+12,1520472147
49924,TAG_READ,,c50000000000000000000048,,,1,1,-64,1.52047E+12,1520472147
49925,TAG_READ,,c50000000000000000000292,,,1,1,-70,1.52047E+12,1520472147
49926,TAG_READ,,c50000000000000000000916,,,1,1,-61,1.52047E+12,1520472147
