Order,,,Tag Code,,,Reader,Mux,RSSI,,Time
52138,TAG_READ,,c50000000000000000000900,,,1,3,-68,1.52047E+12,1520474832
52139,TAG_READ,,c50000000000000000000900,,,1,1,-62,1.52047E+12,1520474834
52140,TAG_READ,,c50000000000000000000610,,,1,1,-62,1.52047E+12,1520474834
52141,TAG_READ,,c50000000000000000000610,,,1,2,-64,1.52047E+12,1520474834
52142,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52047E+12,1520474834
52143,TAG_READ,,c50000000000000000000900,,,1,2,-65,1.52047E+12,1520474834
52144,TAG_READ,,c50000000000000000000900,,,1,4,-63,1.52047E+12,1520474834
52145,TAG_READ,,c50000000000000000000610,,,1,1,-62,1.52047E+12,1520474834
52146,TAG_READ,,c50000000000000000000916,,,1,1,-64,1.52047E+12,1520474834
52147,TAG_READ,,c50000000000000000000900,,,1,2,-65,1.52047E+12,1520474834
52148,TAG_READ,,c50000000000000000000610,,,1,2,-62,1.52047E+12,1520474834
52149,TAG_READ,,c50000000000000000000158,,,1,2,-69,1.52047E+12,1520474834
52150,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52047E+12,1520474835
52151,TAG_READ,,c50000000000000000000900,,,1,1,-64,1.52047E+12,1520474835
52152,TAG_READ,,c50000000000000000000158,,,1,1,-66,1.52047E+12,1520474835
52153,TAG_READ,,c50000000000000000000158,,,1,2,-71,1.52047E+12,1520474835
52154,TAG_READ,,c50000000000000000000900,,,1,2,-68,1.52047E+12,1520474835
52155,TAG_READ,,c50000000000000000000900,,,1,4,-68,1.52047E+12,1520474835
52157,TAG_ALARM,EPC_EAS,c50000000000000000000900,,,1,,,1.52047E+12,1520474834
52157,TAG_READ,,c50000000000000000000916,,,1,2,-71,1.52047E+12,1520474835
52158,TAG_READ,,c50000000000000000000900,,,1,2,-70,1.52047E+12,1520474835
52159,TAG_READ,,c50000000000000000000158,,,1,2,-71,1.52047E+12,1520474835
52160,TAG_READ,,c50000000000000000000158,,,1,2,-68,1.52047E+12,1520474836
52161,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52047E+12,1520474836
52162,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52047E+12,1520474836
52163,TAG_READ,,c50000000000000000000916,,,1,1,-68,1.52047E+12,1520474836
52164,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52047E+12,1520474836
52165,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52047E+12,1520474836
52166,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-64,1.52047E+12,1520474836
52167,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52047E+12,1520474836
52168,TAG_READ,,c50000000000000000000158,,,1,2,-71,1.52047E+12,1520474837
52169,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-60,1.52047E+12,1520474837
52170,TAG_READ,,c50000000000000000000916,,,1,2,-62,1.52047E+12,1520474837
52171,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52047E+12,1520474837
52172,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-64,1.52047E+12,1520474837
52173,TAG_READ,,c50000000000000000000334,,,1,3,-73,1.52047E+12,1520474837
52174,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-60,1.52047E+12,1520474837
