,,,Tag Code,,,Reader,Mux,RSSI,,Time
52309,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52048E+12,
52310,TAG_READ,,c50000000000000000000158,,,1,1,-65,1.52048E+12,
52311,TAG_READ,,c50000000000000000000158,,,1,1,-65,1.52048E+12,
52312,TAG_READ,,c50000000000000000000610,,,1,1,-65,1.52048E+12,
52313,TAG_READ,,c50000000000000000000158,,,1,2,-72,1.52048E+12,
52314,TAG_READ,,c50000000000000000000916,,,1,2,-68,1.52048E+12,
52315,TAG_READ,,c50000000000000000000916,,,1,1,-63,1.52048E+12,
52316,TAG_READ,,c50000000000000000000334,,,1,2,-71,1.52048E+12,
52317,TAG_READ,,c50000000000000000000916,,,1,2,-72,1.52048E+12,
52318,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52048E+12,
52319,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52048E+12,
52320,TAG_READ,,c50000000000000000000916,,,1,2,-67,1.52048E+12,
52321,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,
52322,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,
52323,TAG_READ,,c50000000000000000000158,,,1,2,-69,1.52048E+12,
52324,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52048E+12,
52325,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52048E+12,
52326,TAG_READ,,c50000000000000000000334,,,1,2,-72,1.52048E+12,
52327,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-67,1.52048E+12,
52328,TAG_READ,,c50000000000000000000916,,,1,2,-60,1.52048E+12,
52329,TAG_READ,,c50000000000000000000158,,,1,3,-64,1.52048E+12,
52330,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-63,1.52048E+12,
52331,TAG_READ,,c50000000000000000000610,,,1,3,-64,1.52048E+12,
52332,TAG_READ,,c50000000000000000000916,,,1,3,-64,1.52048E+12,
52333,TAG_READ,,c50000000000000000000334,,,1,3,-67,1.52048E+12,
52334,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52048E+12,
52335,TAG_READ,,c50000000000000000000610,,,1,2,-63,1.52048E+12,
52336,TAG_READ,,c50000000000000000000334,,,1,2,-67,1.52048E+12,
52337,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-59,1.52048E+12,
52338,TAG_READ,,c50000000000000000000916,,,1,2,-64,1.52048E+12,
52339,TAG_READ,,c50000000000000000000158,,,1,3,-67,1.52048E+12,
52340,TAG_READ,,c50000000000000000000610,,,1,3,-67,1.52048E+12,
52341,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-62,1.52048E+12,
52342,TAG_READ,,c50000000000000000000334,,,1,3,-64,1.52048E+12,
52343,TAG_READ,,c50000000000000000000916,,,1,3,-66,1.52048E+12,
52344,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,2,-63,1.52048E+12,
52345,TAG_READ,,c50000000000000000000610,,,1,2,-64,1.52048E+12,
52346,TAG_READ,,c50000000000000000000158,,,1,2,-69,1.52048E+12,
52347,TAG_READ,,c50000000000000000000334,,,1,2,-67,1.52048E+12,
52348,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-63,1.52048E+12,
52349,TAG_READ,,c50000000000000000000334,,,1,3,-60,1.52048E+12,
52350,TAG_READ,,c50000000000000000000158,,,1,3,-66,1.52048E+12,
52351,TAG_READ,,c50000000000000000000900,,,1,3,-67,1.52048E+12,
52352,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-64,1.52048E+12,
52353,TAG_READ,,c50000000000000000000334,,,1,3,-66,1.52048E+12,
52354,TAG_READ,,c50000000000000000000916,,,1,3,-68,1.52048E+12,
52355,TAG_READ,,c50000000000000000000900,,,1,3,-71,1.52048E+12,
52356,TAG_READ,,aaaaaaaaaaaa09aaaaaaaaaaaaaaaaaa,,,1,3,-64,1.52048E+12,
52357,TAG_READ,,c50000000000000000000334,,,1,3,-69,1.52048E+12,
52358,TAG_READ,,c50000000000000000000996,,,1,1,-66,1.52048E+12,
52359,TAG_READ,,c50000000000000000000158,,,1,3,-69,1.52048E+12,
52360,TAG_READ,,c50000000000000000000158,,,1,4,-64,1.52048E+12,
52361,TAG_READ,,c50000000000000000000900,,,1,3,-68,1.52048E+12,
52362,TAG_READ,,c50000000000000000000996,,,1,1,-67,1.52048E+12,
52363,TAG_READ,,c50000000000000000000916,,,1,3,-68,1.52048E+12,
