,,,Tag Code,,,Reader,Mux,RSSI,,Time
52447,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52448,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52048E+12,
52449,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52450,TAG_READ,,c50000000000000000000916,,,1,2,-70,1.52048E+12,
52451,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52452,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52048E+12,
52453,TAG_READ,,c50000000000000000000334,,,1,1,-69,1.52048E+12,
52454,TAG_READ,,c50000000000000000000158,,,1,2,-71,1.52048E+12,
52455,TAG_READ,,c50000000000000000000916,,,1,2,-71,1.52048E+12,
52456,TAG_READ,,c50000000000000000000916,,,1,4,-66,1.52048E+12,
52457,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52048E+12,
52458,TAG_READ,,c50000000000000000000916,,,1,1,-68,1.52048E+12,
52459,TAG_READ,,c50000000000000000000158,,,1,3,-73,1.52048E+12,
52460,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52461,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52048E+12,
52462,TAG_READ,,c50000000000000000000996,,,1,1,-67,1.52048E+12,
52463,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52048E+12,
52464,TAG_READ,,c50000000000000000000158,,,1,1,-70,1.52048E+12,
52465,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52048E+12,
52466,TAG_READ,,c50000000000000000000334,,,1,1,-69,1.52048E+12,
52467,TAG_READ,,c50000000000000000000916,,,1,4,-66,1.52048E+12,
52468,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52469,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52048E+12,
52470,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52471,TAG_READ,,c50000000000000000000334,,,1,1,-70,1.52048E+12,
52472,TAG_READ,,c50000000000000000000916,,,1,1,-64,1.52048E+12,
52473,TAG_READ,,c50000000000000000000710,,,1,1,-70,1.52048E+12,
52474,TAG_READ,,c50000000000000000000996,,,1,1,-67,1.52048E+12,
52475,TAG_READ,,c50000000000000000000787,,,1,1,-65,1.52048E+12,
52476,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52048E+12,
52477,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52478,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52048E+12,
52479,TAG_READ,,c50000000000000000000158,,,1,1,-68,1.52048E+12,
52480,TAG_READ,,c50000000000000000000996,,,1,1,-67,1.52048E+12,
52481,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52048E+12,
52482,TAG_READ,,c50000000000000000000900,,,1,1,-71,1.52048E+12,
52483,TAG_READ,,c50000000000000000000916,,,1,2,-70,1.52048E+12,
52484,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52485,TAG_READ,,c50000000000000000000916,,,1,4,-68,1.52048E+12,
52486,TAG_READ,,c50000000000000000000996,,,1,1,-67,1.52048E+12,
52487,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52048E+12,
52488,TAG_READ,,c50000000000000000000158,,,1,1,-68,1.52048E+12,
52489,TAG_READ,,c50000000000000000000916,,,1,2,-70,1.52048E+12,
52490,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52048E+12,
52491,TAG_READ,,c50000000000000000000916,,,1,1,-64,1.52048E+12,
52492,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52493,TAG_READ,,c50000000000000000000916,,,1,4,-66,1.52048E+12,
52494,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52495,TAG_READ,,c50000000000000000000158,,,1,1,-71,1.52048E+12,
52496,TAG_READ,,c50000000000000000000916,,,1,2,-69,1.52048E+12,
52497,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52498,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52048E+12,
52499,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52048E+12,
52500,TAG_READ,,c50000000000000000000916,,,1,1,-67,1.52048E+12,
52501,TAG_READ,,c50000000000000000000334,,,1,1,-70,1.52048E+12,
52502,TAG_READ,,c50000000000000000000916,,,1,1,-66,1.52048E+12,
52503,TAG_READ,,c50000000000000000000916,,,1,1,-64,1.52048E+12,
52504,TAG_READ,,c50000000000000000000503,,,1,1,-67,1.52048E+12,
52505,TAG_READ,,c50000000000000000000334,,,1,1,-70,1.52048E+12,
52506,TAG_READ,,c50000000000000000000710,,,1,1,-73,1.52048E+12,
52507,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52048E+12,
52508,TAG_READ,,c50000000000000000000916,,,1,4,-67,1.52048E+12,
52509,TAG_READ,,c50000000000000000000334,,,1,3,-73,1.52048E+12,
52510,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52048E+12,
52511,TAG_READ,,c50000000000000000000158,,,1,2,-69,1.52048E+12,
52512,TAG_READ,,c50000000000000000000916,,,1,1,-65,1.52048E+12,
52513,TAG_READ,,c50000000000000000000916,,,1,4,-65,1.52048E+12,
52514,TAG_READ,,c50000000000000000000334,,,1,2,-70,1.52048E+12,
52515,TAG_READ,,c50000000000000000000900,,,1,4,-64,1.52048E+12,
52516,TAG_READ,,c50000000000000000000610,,,1,2,-67,1.52048E+12,
52517,TAG_READ,,c50000000000000000000900,,,1,2,-70,1.52048E+12,
52518,TAG_READ,,c50000000000000000000158,,,1,1,-67,1.52048E+12,
52519,TAG_READ,,c50000000000000000000158,,,1,2,-64,1.52048E+12,
52520,TAG_READ,,c50000000000000000000900,,,1,2,-69,1.52048E+12,
52521,TAG_READ,,c50000000000000000000158,,,1,1,-65,1.52048E+12,
52522,TAG_READ,,c50000000000000000000610,,,1,2,-64,1.52048E+12,
